Id,SalePrice
2,73900048.39936522
4,88749436.77272952
6,56133935.75105281
7,45143838.05922166
17,65021363.1958785
18,41804110.74004297
22,46404691.60897595
27,56559457.807430565
31,65139820.87576555
36,57400985.54326638
39,55889511.72850326
40,47210215.49330337
42,62366193.10116442
46,103884720.17118783
53,67343509.6335607
58,42385822.56419701
61,60111984.34870198
72,48735439.47802397
79,73828846.54883361
80,66950997.87458409
82,47741309.458609976
83,42325144.19151825
85,73259730.76322873
88,45756079.32812855
92,56551102.27291845
93,39833886.30687227
95,63802964.43542754
102,62258746.18557717
103,48120717.12812018
106,25099284.618810024
107,41741919.880105935
110,50067458.58673268
114,100706444.6251352
116,53890097.873956375
117,69505987.37932475
118,54800950.02898932
125,65782550.013773665
126,33055521.765027538
127,31520937.11991047
128,62641262.669992074
134,48605386.191609435
135,71402701.10667028
137,58024791.95366383
143,56551819.19104007
147,70197339.61386028
148,47422503.51472657
150,70341866.8737252
156,42001487.83164647
157,42645423.89589966
159,47100923.09722803
161,50532802.234958276
167,76278599.11817527
170,76364028.46410154
171,53272590.09407775
175,44896548.65284261
179,47398416.0921606
181,69519283.9490521
186,57091920.954672866
193,54783089.935401626
194,74302563.70944968
206,95165950.54319067
208,54130696.54118996
210,54510362.23183252
211,63825395.17052767
212,61111828.71926587
214,97352755.36814153
215,37224854.642492205
217,61497311.333387524
222,30562473.31516246
227,40385219.67331411
228,34576863.50000591
233,99428855.87064466
235,73536023.35273826
238,52116360.587644614
241,48584267.33976051
252,79000559.02478671
253,190653072.09460914
256,55614771.1009577
257,53904273.29749121
258,28522416.34797716
259,85945103.7078307
261,67128532.09397894
263,45638158.8835946
266,51906594.015241586
267,55319780.44908589
270,62423603.99313386
271,99017736.61197858
276,41211236.90858001
285,61930795.16755201
288,80380129.1984251
289,59974143.270291366
290,45063624.615354724
291,50213923.690432325
292,50019551.4836925
293,56314338.57143061
294,49244764.22146831
295,61130178.614975095
304,67384335.6901402
322,71935326.28326698
326,65115727.739775956
327,63906956.046627976
328,79904417.13239387
331,72306021.54851405
332,41152448.2865343
333,116371445.47052824
335,56090376.73875828
337,35231535.58063658
342,57405580.60618074
343,77152856.81378824
347,86774025.99160896
350,79501532.83251426
352,67850057.78939526
358,73821932.80468467
359,43985107.26179429
360,49379928.94218524
368,67861923.29730022
369,146112014.37085405
373,63258169.89778244
377,51764157.330878094
383,81901469.57899193
386,63389964.15343862
387,96201886.37257713
390,82310043.75221765
391,78777006.3840426
395,57001351.625835694
397,79771220.81726006
398,96843593.9033218
401,39414481.63084839
404,45296110.709010765
408,46194366.69255279
409,73315138.95296165
410,47344658.401812546
418,64528089.92220679
422,55706295.70731833
427,51486308.13967323
431,60142423.94892173
433,87907221.4413307
437,63240095.94213571
438,52068521.234898224
442,61497311.333387524
447,37194612.957887076
459,61297388.45168884
460,48299951.34557636
464,55332413.10575026
465,69105611.72157788
467,34126668.58642417
468,75662997.6769791
474,70458410.57946248
480,53515697.746913135
481,35218410.46792392
483,78773589.2888564
488,66433598.619163625
492,63856430.54445854
494,47919647.39845263
499,40476480.947673365
500,35690452.735379644
501,50098790.39093274
503,39908030.29257213
506,42701259.09033364
508,83474484.7593749
511,89445154.11216357
515,68868412.94942896
519,47700318.8357717
521,47488230.17963543
530,122410947.67399062
532,69191290.8739365
534,75091148.03288543
540,52058408.12725517
541,52568548.6350695
551,85281347.22917189
552,65879784.64904285
554,170199069.316227
555,46082587.82265429
556,74311719.73801784
557,47684536.03015523
565,68662791.22825488
566,66777730.07187548
567,31506172.736924436
569,88540501.6005553
570,41796140.73797043
574,55898866.14216692
575,61545908.16746762
576,75026847.2928222
577,83905927.88598396
578,57236561.66252657
583,58695170.37141845
584,46899039.134094924
585,57491860.134184994
587,78441961.43299668
593,45124217.81508337
597,31856719.853738744
598,64156292.56358602
599,42677434.4666538
600,37930659.507578425
605,39320187.88219522
607,57296011.79837288
608,42368463.43730149
611,75998282.63803221
616,58551176.68796572
625,56861778.95867555
629,42889409.479215495
630,102362526.36100279
631,81831274.92480698
640,42462576.46160348
642,65998770.45085901
643,51531101.19497009
646,34030637.25995634
647,57882173.158292554
655,49184696.42825616
659,63451173.2233609
663,74238645.66591734
665,66360441.830900766
667,72865680.63017905
673,52630436.625299096
676,92669248.96106325
680,71938799.96431112
682,66222648.44338581
687,83657282.26728103
688,51749802.43516627
692,38264406.50981473
693,46973988.692670524
695,57021159.899839394
697,49568059.59888526
700,69296452.12502089
702,58244034.01507843
703,39811186.314505935
704,38859301.31594532
712,88298063.92134811
713,75724395.38937174
717,57118836.34843893
720,97347507.0946324
721,66497506.46437325
726,27444141.893516004
733,70099121.38429855
736,35712120.83237051
738,115774402.01069452
741,56567567.01686052
743,38081151.660264865
745,115026214.06756094
750,97820400.78705522
756,61618181.40422984
757,76070796.57969807
758,58738388.5414725
760,92502568.67838858
765,87499807.53535601
775,91916832.16221082
776,78644340.06433795
780,41607448.392563224
783,41418073.14129607
790,69859546.49891873
795,86805716.34550664
796,75374124.13978827
797,61758184.67210119
798,78275167.94446778
804,78498610.00677064
805,64619764.429374404
806,46127768.3041082
808,41802702.20341151
814,115154513.6783705
818,73485986.01001935
821,85453608.98089159
822,48796023.23188354
825,58063361.38996372
827,48606768.61189216
830,51824840.94040898
834,74510960.6731468
835,69615427.18612708
842,58804253.2888338
845,66308475.207511865
852,61863351.18135815
857,43379249.18443607
858,87678103.25503416
859,61293574.05007321
860,64291931.44999867
861,122248909.2416545
864,41286542.6965896
868,53290105.64442575
869,40502613.38602522
872,64877567.840829164
873,34270936.49336188
885,48194024.39813523
890,70831813.03760147
895,55826107.452636294
899,42236627.717632875
906,37137553.63012055
918,49147607.269382596
923,71170072.85362606
925,84833484.32208276
927,39895433.19538178
932,36443631.22937912
933,53476458.81066363
934,40834560.60831496
942,52924337.09330354
947,41780272.62783955
948,29835697.956383552
951,62652194.85180251
957,40385219.67331411
958,64875034.78761063
959,81408042.85231875
963,66406117.920127794
967,62161723.88757151
968,76825438.86052975
971,87374086.9296533
972,46499467.280711606
976,75122046.03049567
978,30935939.95406547
979,43598595.17872279
984,76818168.02719407
986,60282983.81615381
991,51552481.14265431
996,46420496.3061943
1001,88876988.49896121
1007,61769222.0588216
1008,73175485.85921188
1009,89998932.2539245
1014,78696750.18413916
1022,87597844.07697956
1024,90118769.97985564
1027,76006096.20470868
1030,85551770.38887008
1032,48638104.62642961
1035,27402869.49302337
1042,54866045.748974055
1047,66129485.75454873
1050,73866888.42198043
1055,42744958.16721157
1059,44463767.243228376
1061,57337085.01364516
1064,52459191.688779056
1077,73133328.80253455
1081,62449515.78921842
1092,87347561.4099073
1093,65829865.50899657
1095,75152091.69646728
1099,56707075.88668672
1101,32728575.22525875
1103,65702323.2395531
1109,34101597.553050436
1112,58422285.91096075
1113,49576006.76790424
1114,36664837.418163665
1116,70019953.2945093
1117,53859716.9473473
1119,50947727.326920606
1121,64886168.203652084
1122,90446303.5517531
1125,71958318.54018296
1137,66749486.06342762
1142,40415083.23957129
1144,57517857.63800528
1145,51215950.813550994
1147,70103218.06001857
1148,53741018.54590589
1149,48601387.346061036
1150,77334124.9782972
1153,56632739.74788152
1154,103394507.32767192
1159,59452838.47117742
1161,66299799.24574304
1167,80075325.72892857
1171,55871465.28776914
1174,59428066.21486166
1188,70643481.79048795
1189,46932000.98492845
1191,80524251.86825848
1195,56658658.10090908
1199,75695910.73793492
1201,75715248.22785468
1204,74850276.90727179
1211,75328940.50436032
1214,51802309.938249975
1219,100758194.60006242
1220,40556395.52083387
1227,67978462.42857039
1229,115197009.08369154
1231,39885268.86670954
1234,81431256.2197176
1235,56201421.274403565
1239,74622023.94021921
1240,61901313.28492839
1241,48009165.280975305
1246,63296203.706889674
1249,70601536.08086893
1250,84846460.47021669
1252,96017521.96977578
1259,72254096.99811603
1267,67803735.03494069
1269,88043509.90791619
1270,56992700.5152157
1272,54515788.71289402
1274,52588366.280304715
1276,44361109.21940922
1279,80903100.29458013
1281,59156422.992873564
1286,61423529.729554474
1287,57966213.97323818
1290,32868254.51548859
1291,60444386.60047956
1297,58480255.723433234
1302,41038934.39923388
1303,46975275.2004233
1312,62972443.09999846
1315,81679839.6077547
1322,51092425.53953147
1327,81461599.41651633
1331,62081175.64579549
1333,46484149.08676262
1334,64462938.86489881
1336,72259737.03356442
1341,77174363.0450599
1344,46829719.94864569
1347,52770997.673586726
1348,60782515.244164124
1353,97554365.63471901
1355,54764439.13458738
1356,84504401.93781535
1357,103626127.72088654
1361,49612859.5341897
1364,95526998.5689761
1368,41290081.72395247
1369,72550770.44312112
1371,94564325.07567996
1373,47741896.333241105
1374,108391039.00085373
1387,47272849.17497587
1388,72999441.99540077
1392,94682264.96368428
1394,56313503.798018515
1406,67015850.64611546
1407,41614795.13274739
1408,77344693.93563099
1409,37243388.46203602
1411,48425454.25147724
1412,41919263.62890599
1413,61672443.4353997
1414,48130310.27786718
1425,93766741.394067
1430,62842236.723206595
1431,59030988.155460596
1435,42643926.844568014
1441,65181661.32455846
1444,68290272.60541867
1445,55705716.23601214
1446,43858245.84318448
1452,55918237.41027931
